B_age,B_current_lose_streak,B_current_win_streak,B_Height_cms,B_longest_win_streak,B_losses,B_Reach_cms,B_Stance,B_total_rounds_fought,B_total_title_bouts,B_Weight_lbs,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,R_age,R_current_lose_streak,R_current_win_streak,R_Height_cms,R_longest_win_streak,R_losses,R_Reach_cms,R_Stance,R_total_rounds_fought,R_total_title_bouts,R_Weight_lbs,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,title_bout,weight_class,Winner
0.464285714,0.6,0,0.304347826,0.0625,0.1875,0.269230769,Orthodox,0.095744681,0,0.133333333,0,0,0,0.090909091,0,0,0.043478261,0.481481481,0.25,0,0.260869565,0.0625,0.235294118,0.333333333,Southpaw,0.136363636,0,0.066666667,0,0,0.1,0.090909091,0,0,0.086956522,FALSE,WomenFlyweight,Blue
0.428571429,0.6,0,0.391304348,0,0.1875,0.461538462,Orthodox,0.085106383,0,0.266666667,0,0,0,0,0,0,0,0.444444444,0.25,0,0.434782609,0.125,0.235294118,0.458333333,Orthodox,0.215909091,0,0.266666667,0,0,0.3,0,0.071428571,0,0.173913043,FALSE,Lightweight,Red
0.535714286,0,0.375,0.304347826,0.375,0.0625,0.5,Orthodox,0.127659574,0,0.266666667,0,0,0.1,0.272727273,0.142857143,0,0.260869565,0.62962963,0,0.125,0.391304348,0.375,0.176470588,0.583333333,Orthodox,0.272727273,0,0.266666667,0,0,0.3,0.272727273,0.142857143,0,0.347826087,FALSE,Lightweight,Blue
0.357142857,0,0.125,0.47826087,0.125,0.0625,0.5,Orthodox,0.085106383,0.0625,0.2,0,0.4,0,0,0,0,0.086956522,0.259259259,0,0.0625,0.304347826,0.0625,0,0.5,Southpaw,0.011363636,0,0.2,0,0,0,0.090909091,0,0,0.043478261,FALSE,Featherweight,Blue
0.321428571,0.2,0,0.652173913,0.0625,0.0625,0.692307692,Southpaw,0.063829787,0,0.466666667,0,0,0.1,0,0,0,0.043478261,0.481481481,0,0.125,0.52173913,0.125,0,0.708333333,Orthodox,0.045454545,0,0.466666667,0.5,0,0,0.090909091,0,0,0.086956522,FALSE,Middleweight,Red
0.571428571,0,0.125,0.130434783,0.1875,0.25,0.153846154,Orthodox,0.329787234,0,0,0,0.4,0.2,0,0.142857143,0,0.260869565,0.555555556,0.25,0,0.260869565,0.125,0.176470588,0.208333333,Orthodox,0.193181818,0,0,0,0,0.2,0.090909091,0,0,0.130434783,FALSE,WomenFlyweight,Red
0.571428571,0,0.125,0.565217391,0.125,0.3125,0.653846154,Orthodox,0.159574468,0,0.92,0,0,0.1,0.363636364,0.071428571,0,0.260869565,0.555555556,0,0.1875,0.826086957,0.1875,0.176470588,0.833333333,Orthodox,0.147727273,0,0.953333333,0,0.2,0,0.090909091,0.142857143,0,0.173913043,FALSE,Heavyweight,Blue
0.392857143,0,0.125,0.47826087,0.1875,0.3125,0.538461538,Orthodox,0.308510638,0,0.366666667,0,0.2,0.4,0.090909091,0.071428571,0,0.304347826,0.703703704,0,0.25,0.565217391,0.5,0.764705882,0.541666667,Orthodox,0.886363636,0.0625,0.366666667,0,0,0.7,0.909090909,0.428571429,0,1,FALSE,Welterweight,Blue
0.392857143,0,0.3125,0.47826087,0.3125,0.0625,0.653846154,Southpaw,0.14893617,0,0.366666667,0,0,0.1,0.272727273,0.071428571,0,0.217391304,0.518518519,0,0.0625,0.652173913,0.4375,0.411764706,0.833333333,Orthodox,0.75,0,0.366666667,0,0.2,1,0.454545455,0.071428571,0,0.739130435,FALSE,Welterweight,Red
0.25,0,0.0625,0.52173913,0.0625,0,0.730769231,Orthodox,0.031914894,0,0.6,0,0,0.1,0,0,0,0.043478261,0.407407407,0.25,0,0.434782609,0.125,0.058823529,0.541666667,Orthodox,0.090909091,0,0.466666667,0,0,0.2,0,0,0,0.086956522,FALSE,Middleweight,Red
